ID,Name,Released Date,"Saturation Time Metadata
(Top-Performing five Models: Performance and Rankings) ",top5_models_extracted,top model 1,top model 2,top model 3,top model 4,top model 5,num_top_models_extracted,Mean (top-5 models),Std Dev (top-5 models),Range of scores (s_max - s_min; top-5 models),SE_delta,R_norm,Saturation Index,Saturation Index (interpreted) ,Recent Models Evaluated (Yes / No),Time since benchmark release (in months),SOTA Performance at release,Dataset-related issues,"Dataset-related Issues Sources
(Followup papers and other sources describing these issues)",Task Input,Task Output Format,Dataset curation tags,Dataset curation notes,Languages included,Quantity of test samples,Quantity of test samples Notes,Paper Citations,Publically v/s Privately available,Publically v/s Privately available Notes,Literal diversity,Literal diversity Notes,"Identifying which prompts/questions are ""solved"" by numerous models vs those that are consistently hard for different models Notes",Metric,Metric Notes,5th Highest-Performing Model Release Date,5th Highest-Performing Model Release Source
47,C-Eval,5/15/2023,"Kimi K2 92.5
Deepseek v3 90.1 
Qwen3-225B-A22B 89.6
GLM 4.5 86.9

----------------
1) Claude-3-Opus 71.7
2) GPT-4-0409 70.5
3) GPT-4-1106 69.7
4) Llama-3-70B-Instruct 66.9
5) Mixtral-8x22B 58.7
(https://opencompass.readthedocs.io/en/stable/user_guides/corebench.html)",Kimi K2: 92.5; Deepseek v3: 90.1; Qwen3-225B-A22B: 89.6; GLM 4.5: 86.9; Claude-3-Opus: 71.7,92.5,90.1,89.6,86.9,71.7,5,86.16,7.45,20.8,0.08614923,2.41441513,0.00293984,Very low,Yes,31,60 GPT-4),"Contamination, Other data-related issues","Contamination [table 4]: https://arxiv.org/pdf/2508.05452, https://arxiv.org/abs/2310.17589   Authors created C-Eval (and C-Eval Hard) and note test-label withholding to avoid leakage; public exam-style questions still pose contamination risk",QA (MCQ),MCQ,"Expert human created, Programatically generated/Scraped","13,948 multiple-choice exam questions across 52 disciplines and 4 difficulty levels (middle school → professional)",Chinese,"1,346","C-Eval Hard exists as a challenging subset; test label handling described separately by authors
Dev: 260
test: 1346
val: 12342",700,Private,Repo states test labels not publicly released; provides validation split (1346 Qs) accuracy as reference,No,Exam questions are not template-instantiated in the benchmark description,C-Eval Hard explicitly targets harder subjects; paper notes “significant room for improvement,Accuracy,"Reported as average accuracy across subjects, often reported under different prompting (zero-/few-shot) in various evaluations",2024-03-04,https://www.anthropic.com/research/claude-3-family
48,MultiPL-E,8/18/2022,"Claude opus 4 89.6
Claude sonnet 4 88.6
 GPT 4.1 86.7 
Kimi k2 Instruct 85.7 
Gemini 2.5 flash85.6
Deepseek v3 0324 83.1 
Mistral medium 3 81.4
Qwen3-235B-A22B 78.2  ",Claude opus 4: 89.6; Claude sonnet 4: 88.6; GPT 4.1: 86.7; Kimi k2 Instruct: 85.7; Gemini 2.5 flash: 85.6,89.6,88.6,86.7,85.7,85.6,5,87.24,1.6,4,0.04385391253,0.9121193,0.4351947627,Moderate,Yes,40,45 (Codex - codex-davinci-002 ),"Other data-related issues, Contamination","Translated from MBPP/Human eval, some problems couldnt be changed.
MultiPL-E is derived from HumanEval and MBPP, which are known to have partial overlap with public code repositories

Could also be contamination available in public since 2022",Coding,Free-form,Programatically generated/Scraped,Translated from other benchmarks,19 Programming languages,"12,667","Converted from python to 22 programming languages; 
https://huggingface.co/datasets/nuprl/MultiPL-E",117,Public,,No,,,"Task-specific Metrics, pass$k","pass@1 is the likelihood of the model producing a
completion that passes all unit tests, pass@10 is the likelihood of any one of 10 completions passing all unit tests, and
so on. We calculate pass@1 with temperature 0.2, and use
temperature 0.8 for pass@10 and pass@100.",2025-06-17,https://ai.google.dev/gemini-api/docs/changelog
49,Flores-101,6/7/2021,"

GPT-4o 83.0
Gemini 2.0 Flash 82.8
Gemini 1.5 Pro  82.8
Claude 3.7 Sonnet  82.7
Command A 81.2
DeepSeek V3 76.3",GPT-4o: 83.0; Gemini 2.0 Flash: 82.8; Gemini 1.5 Pro: 82.8; Claude 3.7 Sonnet: 82.7; Command A: 81.2,83,82.8,82.8,82.7,81.2,5,82.5,0.66,1.8,0.03031223,0.5938197034,0.7028429301,High,Yes,54,N/A,"Contamination, Other data-related issues","https://arxiv.org/abs/2508.20511 [Quality issues], African languages correction [https://arxiv.org/abs/2409.00626], ",Instruction/Open Ended,Free-form,crowdsourced human created,Translated 3001 sentences from wikipedia into 101 languages,101 languages,"102,212","3001 total, 2001 public, test set hidden
dev: 997 devtest: 1012
The devtest is meant to be used for testing
purpose during the development phase. ",659,Private,,No,,,BLEU4,A variation of BLEU is proposed: SentencePiese BLEU,2025-03-13,https://docs.cohere.com/changelog/command-a
50,QuALITY,12/17/2021,"Individual models
Llama 3 405B - 95.2 
Claude 3 opus - 90.2 (1 shot)/ 89.5 (0 shot) [More claude numbers available in 3 opus report]

Leaderboard: https://nyu-mll.github.io/quality/
Clustering and Decomposition using Qwen2.5-7b and chat using DeepSeek  88.0         
Baseline model: RAPTOR + gpt-4o w/ query intent & entity understanding        83.1         
RAPTOR (collapsed tree) + GPT-4 82.6         
Baseline model: Long-context GPT-3.5 (gpt-3.5-turbo-16k) as of January 2024 74.7         
LongMA: Fine-Tuning TechGPT-7B using QLoRA on QuALITY and RACE subset 73.0",Llama 3 405B: 95.2; Claude 3 opus: 90.2; Clustering and Decomposition using Qwen2.5-7b and chat using DeepSeek: 88.0; RAPTOR + GPT-4: 82.6; Long-context GPT3.5: 74.4,95.2,90.2,88,82.6,74.4,5,86.08,7.1,20.8,0.0715501,2.907053811,0.00021369,Very low,No,48,55.4 (Deberta v3 large ),,"N/A [Need someone that might know], will do another search",QA (MCQ),MCQ,crowdsourced human created,"Collect the dataset using a creative crowdsourcing pipeline that ensures the examples have unambiguous answers but are still challenging. Rxample writers carefully read the full source article before writing questions, and to then write questions that are unambiguous and require consolidating information from multiple parts of the text. ",English,"2,128"," 6,737 questions in total, of which 3,360 ques-
tions are in the difficult subset, QuALITY-HARD
train: 2523 dev: 2086 test: 2128",200,Public,,No,,,Accuracy,,2023-11-06,https://platform.openai.com/docs/deprecations/2023-03-20-codex-models%23.doc
51,MMLU-Redux,6/7/2024,"Kimi K2-Thinking-0905 : 0.944
Claude opus 4: 0.942 
Qwen3-235B-A22B-Thinking-2507 : 0.938
Qwen3 VL 235B A22B Thinking : 0.937
Claude sonnet 4: 0.936
DeepSeek-R1-0528 : 0.934
Qwen3-235B-A22B-Instruct-2507 : 0.931

Sources : https://llm-stats.com/benchmarks/mmlu-redux
                 https://aclanthology.org/2025.naacl-long.262/",Kimi K2-Thinking-0905: 94.4; Claude opus 4: 94.2; Qwen3-235B-A22B-Thinking-2507: 93.8; Qwen3 VL 235B A22B Thinking: 93.7; Claude sonnet 4: 93.6,94.4,94.2,93.8,93.7,93.6,5,93.94,0.31,0.8,0.04537458,0.176310169,0.9693929039,Very high,Yes,18, 41.9% (Claude 3 Opus),No known issues,,QA (MCQ),MCQ,Expert human created,,English,"3,000","To this end, we introduce
MMLU-Redux, a thoroughly reviewed subset of the MMLU dataset [11] comprising 3,000 questions
spanning the 30 MMLU subjects we analysed.",,Public,Test set available,No,,,"Recall, F1",,2025-05-14,https://platform.claude.com/docs/en/about-claude/models/overview
52,"Arena-Hard 
(Arena-Hard-Auto-v0.1)",6/18/2024,"v2.0 https://github.com/lmarena/arena-hard-auto?tab=readme-ov-file#leaderboard
 o3-2025-04-16        85.9  (-0.8 / +0.9)
                   o4-mini-2025-04-16-high        79.1  (-1.4 / +1.2)
                                gemini-2.5        79.0  (-2.1 / +1.8)
                        o4-mini-2025-04-16        74.6  (-1.8 / +1.6)
                          gemini-2.5-flash        68.6  (-1.6 / +1.6)



Pits 2 models in competition to see which performs better on a generated prompt dataset

Model win rate / Score /  95% CI 

gpt-4-turbo-2024-04-09        82.63        (-1.88, +1.97)        
claude-3-5-sonnet-20240620        79.35        (-2.10, +1.27)        
gpt-4o-2024-05-13        79.21        (-1.79, +1.50)        
gpt-4-0125-preview        77.96        (-2.02, +1.94)        
athene-70b-0725        76.83        (-1.99, +1.91)", o3-2025-04-16: 85.9; o4-mini-2025-04-16-high: 79.1; gemini-2.5: 79.0; o4-mini-2025-04-16: 74.6; gemini-2.5-flash: 68.6,85.9,79.1,79,74.6,68.6,5,77.44,5.71,17.3,0.1226774881,1.410201682,0.1368775178,Low,Yes,18,     82.6    (gpt-4-turbo-2024-04-09) ,Biases,"GPT-4-turbo-2024-04-09 (highest scoring model) was also used as judge. in paper, authros exclude this model but it appears still on leaderboard results",Instruction/Open Ended,Free-form,"crowdsourced human created, LLM generated","BenchBuilder pipeline extracts high-quality user queries from vast datasets is simple: each prompt is evaluated using a quality score, and prompts with high scores are sampled evenly across diverse topics. these become the evaluation dataset (500 challenging prompts)",English,500,500 prompts sampled from BenchBuilder curated qualified list - 500 question vary from matchup to matchup,228,Public,,No,widely sampled from crowsourced prompts,,LLM-as-a-Judge,"We evaluate a model on a given prompt using a pairwise comparison against a strong baseline model (e.g.,GPT-4-0314). A judge model (e.g.,GPT-4-Turbo or Gemini-1.5-Pro) then scores each output by rating its preference between the pair on a 5-point Likert scale(Likert,1932)(1 indicates strong preference for model A, 5 indicates strong preference for model B). This scoring method penalizes models more heavily for large losses, effectively distinguishing performance across models. To ensure consistency, we utilize chain-of-thought (Wei et al., 2023) prompting, guiding the LLM judge to generate its own solution before issuing a judgment.",2025-06-17,https://ai.google.dev/gemini-api/docs/changelog
53,Humanity’s Last Exam,1/27/2025,"HLE Text only
Gemini 3 pro preview 37.72±2.04

gpt-5-pro-2025-10-06 33.32±1.99

gpt-5.2-2025-12-1128.50±1.90

gpt-5-2025-08-07 26.32±1.86

claude-opus-4-5-20251101-thinking 26.32±1.86






gemini-3-pro-preview: 37.52 +/- 1.90 (CE: 57)
gpt-5-pro-2025-10-06: 31.64 +/- 1.82 (CE: 49)
gpt-5.2-2025-12-11: 27.80 +/- 1.76 (CE: 45)
gpt-5-2025-08-07: 25.32 +/- 1.70 (CE: 50)
claude-opus-4-5-20251101-thinking: 25.20 +/0 1.70 (CE:55)

source: HLE leaderboard


","Gemini 3 pro preview: 37.72 
gpt-5-pro-2025-10-06: 33.32 
gpt-5.2-2025-12-11: 28.50; 
gpt-5-2025-08-07: 26.32; 
claude-opus-4-5-20251101-thinking: 26.32",37.72,33.32,28.5,26.32,26.32,5,30.44,4.45,11.4,0.09261165,1.230946597,0.219757739,Low,Yes,11,13.4 (o3-mini-high),Contamination,"https://arxiv.org/abs/2508.13180 (search time data contamination), https://www.futurehouse.org/research-announcements/hle-exam (29% errors in bio/chem)   , Many models evaluated since release of benchmark, potentially allowing developers to access prompts and solutions; some models (GPT-4o, Gemini-1.5.Pro-002) used initially to filter data

source: model notes on HLE leaderboard",QA (MCQ),"MCQ, Free-form",Expert human created,"HLE is developed by academics and domain experts.... Before submission, each question is tested against state-of-the-art LLMs to verify its difficulty- questions are rejected if LLMs can answer them correctly. Questions submitted then proceed through a two-stage reviewing process: (1) an initial feedback round with multiple graduatelevel reviewers and (2) organizer and expert reviewer approval, ensuring quality and adherence to our submission criteria. Following release, we conducted a public review period, welcoming community feedback to correct any points of concern in the dataset.

(quoted from HLE paper p 4: https://arxiv.org/pdf/2501.14249)",English,"2,500",unkown number of samples in private test set,272,Private,,No,"multi-disciplinary, sample structure reflects disicplinary conventions, so highly diverse literally","questions are qualified by failure of then-frontier LLMs to correctly answer candidate question. if LLMs are able to answer correctly, question is disqualified",LLM-as-a-Judge,"uses structure evalaution metaprompt; uses O3-MINI as a judge to verify answer correctness against model predictions while accounting for  equivalent formats (e.g.,decimals vs. fractions or estimations)",2025-11-01,https://platform.claude.com/docs/en/about-claude/models/overview
54,IFEval,11/15/2023,"
o3-mini 0.939	
Claude 3.7 Sonnet 0.932	
Nova Pro 0.921	
Llama 3.3 70B Instruct 0.921	
Gemma 3 27B 0.904	
-----------------------

meta-llama/Llama-3.3-70B-Instruct: 89.98
meta-llama/Llama-3.1-70B-Instruct: 86.69
MaziyarPanahi/calme-2.1-qwen2.5-72b 86.62
VAGOsolutions/Llama-3.1-SauerkrautLM-70b-Instruct 86.56
Qwen/Qwen2.5-72B-Instruct 86.38

Source: OpenLLM Leaderboard",o3-mini: 93.9; Claude 3.7 Sonnet: 93.2; Nova Pro: 92.1; Llama 3.3 70B Instruct: 92.1; Gemma 3 27B: 90.4,93.9,93.2,92.1,92.1,90.4,5,92.34,1.19,3.5,0.07870039,0.4447245798,0.82055039,High,Yes,25,83.57 (GPT-4),Contamination,"dataset released in 2023, benchmark has had high uptake. developers have had access to prompts and solutions for a long time",Instruction/Open Ended,Free-form,LLM generated,"First, we generate a set of base prompts with one to three randomly selected verifiable instructions appended to the end of each prompt. Then, we use few-shot prompting to identify illogical prompts and remove them. As the third step, we apply another few-shot prompting based approach to rephrase each prompt, to increase the diversity of phrasing. Finally, we manually check and edit the rephrased prompts one by one.

(quoted from IFEval paper p. 4: https://arxiv.org/pdf/2311.07911)",English,541,,699,Public,,Yes,see dataset curation notes,,Accuracy,"For a given response resp and a verifiable instruction inst, we define the function that verifies if the instruction is followed or not as: 

is followed(resp,inst) = True, if instruction is followed. False, otherwise. 

We use Equation 1 to compute the instruction following accuracy, and refer to it as the strict metric.

We compute a loose accuracy score of instruction following, which is defined as: 

is followedloose(resp, inst) = Any (is followed transformt(resp),inst for t = 1,2,... ",2025-03-10,https://ai.google.dev/gemma/docs/releases
55,Terminal Bench,5/19/2025,"The benchmark requires both an agentic system and a model. These are the top 5: 
Apex2        claude-4-5-sonnet        2025-10-15        Tian Jian Wang        Anthropic        
64.5%± 1.1


Abacus AI Desktop        Multiple        2025-11-08        Abacus.AI        Multiple        
62.3%± 1.8


Ante        claude-sonnet-4-5        2025-10-10        Antigma Labs        Anthropic        
60.3%± 2.1


Droid        claude-opus-4-1        2025-09-24        Factory        Anthropic        
58.8%± 1.7


Droid        claude-sonnet-4-5        2025-09-29        Factory        Anthropic        
57.5%± 1.5",Apex2: 64.5; Abacus AI Desktop: 62.3; Ante: 60.3; Droid (claude-opus-4-1): 58.8; Droid (claude-sonnet-4-5): 57.5,64.5,62.3,60.3,58.8,57.5,5,60.68,2.49,7,0.211488465,0.3309873189,0.8962350165,High,Yes,7,N/A,Other data-related issues,"Can't tell from a glance: https://huggingface.co/datasets/ia03/terminal-bench/viewer 

From: https://www.tbench.ai/news/announcement-2-0 ""Additionally, we weren't satisfied with the level of verification in the original dataset. Our community discovered several problems with tasks from 1.0. For example, in download-youtube YouTube's constantly changing anti-bot protections meant that a solution that worked one day might not work the next.""",Agentic,Free-form,"Expert human created, crowdsourced human created",Crowdsourced from human experts,English,112,,,Private,,No,,,Accuracy,,2025-09-29,https://platform.claude.com/docs/en/about-claude/models/overview
56,Terminal Bench 2.0,11/7/2025,"Rank	Agent	Model	Date	Agent Org	Model Org	
Accuracy

1
Droid	Claude Opus 4.5	2025-12-11	Factory	Anthropic	
63.1%± 2.7

2
Warp	Multiple	2025-12-12	Warp	Multiple	
61.2%± 3.0

3
Codex CLI	GPT-5.1-Codex-Max	2025-11-24	OpenAI	OpenAI	
60.4%± 2.7

4
Letta Code	Claude Opus 4.5	2025-12-17	Letta	Anthropic	
59.1%± 2.4

5
Warp	Multiple	2025-11-20	Warp	Multiple	
59.1%± 2.8",Droid (Claude Opus 4.5): 63.1; Warp: 61.2; Codex CLI: 60.4; Letta Code (Claude Opus 4.5): 59.1; Warp: 59.1,63.1,61.2,60.4,59.1,59.1,5,60.58,1.49,4,0.2289239266,0.1747305343,0.9699305969,Very high,Yes,1,N/A,No known issues,,Agentic,Free-form,"Expert human created, crowdsourced human created, LLM generated",,English,82,,,Private,,No,,,Accuracy,,2025-06-25,https://www.tbench.ai/news/warp-sota
57,τ2-Bench,6/10/2025,"https://taubench.com/#leaderboard
        Gemini-3.0-Pro        85.4%        
Claude-Sonnet-4.5 84.7%        
Qwen3-Max-Thinking-Preview 80.8%
   DeepSeek-V3.2              80.4%        
     gpt 5         80.0%        ",Gemini-3.0-Pro: 85.4; Claude-Sonnet-4.5: 84.7; Qwen3-Max-Thinking-Preview: 80.8; DeepSeek-V3.2: 80.4; gpt 5: 80.0,85.4,84.7,80.8,80.4,80,5,82.26,2.3,5.4,0.130551083,0.4136311915,0.8427450803,High,Yes,6,55 (gpt4.1),Other data-related issues,"task definitions, expected actions, and evaluation criteria did not properly align with the stated policies or database contents: https://github.com/amazon-agi/tau2-bench-verified  (task/policy misalignment)                       ",Agentic,Free-form,LLM generated,See paper,English,279,"retail: 115
airline: 50
telecom: 114",7,Public,,Yes,,,Accuracy,% of resolved tasks,2025-08-07,https://platform.openai.com/docs/changelog
58,FrontierMath,8/11/2024,"from: https://epoch.ai/frontiermath 
GPT-5.2 (Pro) 29.2% 
Gemini 3 Pro Preview 18.8% 
GPT-5.2 (xhigh) 16.7% 
GPT-5.2 (high) 14.6% 
GPT-5.2 (medium) 14.6% 
GPT-5.1 (high) 12.5% 
GPT-5 (high) 12.5% 

","GPT-5.2 (Pro) 29.2; 
Gemini 3 Pro Preview 18.8; 
GPT-5.2 (xhigh) 16.7;
GPT-5.2 (high) 14.6;
GPT-5.2 (medium) 14.6",29.2,18.8,16.7,14.6,14.6,5,18.78,5.44,14.6,0.1969512046,0.7413003656,0.5772232155,Moderate,Yes,16,2 (gpt o1),No known issues,,Instruction/Open Ended,Free-form,Expert human created,,English,73,"350 problems, 50 (original) + 23 (T4) ",149,Private,,No,,,Accuracy,,2025-08-07,https://platform.openai.com/docs/changelog
59,USMLE / MedQA,9/29/2020,"o1 96.52%
GPT 5.1 96.38%
GPT 5 96.32%
GPT 5 Mini 96.06%
o3 96.06%
Gemini 3 Pro (11/25) 96.03%",o1: 96.52; GPT 5.1: 96.38; GPT 5: 96.32; GPT 5 Mini: 96.06; o3: 96.06,96.52,96.38,96.32,96.06,96.06,5,96.27,0.18,0.46,0.0447459,0.1028027055,0.989487253,Very high,Yes,63,36.7 (BIOBERT-LARGE),"Mislabeling, Other data-related issues", https://github.com/Google-Health/med-gemini-medqa-relabelling :various questions include label errors or reference missing information such as figures or lab results that are not included; https://arxiv.org/pdf/2404.18416 page 45 figure c1,QA (MCQ),MCQ,Expert human created,"1. Collected from National Medical Board Examination (USMLE, MCMLE, TWMLE), only use the problems that are publicly available/released to use
2. Shuffle the order of answer options and randomly delete
one of the wrong options for each question for USMLE and
MCMLE datasets, which results in four options with one
right option and three wrong options",English,"1,273","Detailed stats in paper
Huggingface: https://huggingface.co/datasets/GBaker/MedQA-USMLE-4-options ",1253,Public,,No,"- In the paper, they have ""diversity of questions"" section -- where they say they have 2 categories of questions: 
(1) question targeting single piece of knowledge => require one-hop reasoning
(2) question first describe patient's condition, ask for appropriate outcome/treatment ... => require multi-hop reasoning",,Accuracy,,2025-04-16,https://openai.com/index/introducing-o3-and-o4-mini/
60,FACTS Grounding,12/17/2024,"

(1) Unadjusted factuality score (no disqualification)
Gemini 1.5 Flash: 85.8
Gemini 2.0 Flash Experimental: 85.6
Gemini 1.5 Pro: 82.7
Claude 3.5 Sonnet: 82.2
GPT-4o: 79.8

(2) Final facutality score (after disqualifying ineligible responses)
Gemini 2.0 Flash Experimental: 83.6
Gemini 1.5 Flash: 82.9
Gemini 1.5 Pro: 80.0
Claude 3.5 Sonnet: 79.4
GPT-4o: 78.8


Refer to: https://arxiv.org/abs/2512.10791 for Fact grounding v2, a leaderboard now exists at https://www.kaggle.com/benchmarks/google/facts ",Gemini 1.5 Flash: 85.8; Gemini 2.0 Flash Experimental: 85.6; Gemini 1.5 Pro: 82.7; Claude 3.5 Sonnet: 82.2; GPT-4o: 79.8,85.8,85.6,82.7,82.2,79.8,5,83.22,2.25,6,0.09824109,0.6107424305,0.688660883,Moderate,Yes,12,83.6 (Gemini 2.0 Flash Experimental),No known issues,"Explicitly acknowledge the issue of data contamination;
Mitigation approaches:
- user request to explicitly only follow the information in the provided context, which are not contaminated
- generate responses only grounded in the provided context
- parity is maintained for leaderboard purposes",Instruction/Open Ended,Free-form,crowdsourced human created,"1. Third-party human raters were instructed to design prompts tailored for long-form generation tasks
2. Manually verified by the authors and discard the ones that don't align with the instructions
(instructions need to rely on provided context, no creative-writing tasks, PDF-originated documents)",English,860,Huggingface: https://huggingface.co/datasets/google/FACTS-grounding-public ,37,Public,Open split publicly available while blind split not released ,No,"- diverse in a sense they are all human-generated
- diversity is ensured by (1) length variation -- prompts are generated in various lengths (up to 32k tokens), (2) enterprise domains (e.g., finance, tech, retail ...)",,"Accuracy, F1, Unadjusted factuality score","Macro-F1, Acc., FPR, FNR, F1. A model response is marked with a positive label (“accurate”) if all the claims in the
response are grounded in the contents of the prompt, or do not require grounding; the response is
marked with a negative label (“not accurate”) if a single claim that bears information is deemed to be
not grounded in the contents of the prompt.
- use 3 judge LLMs (Gemini 1.5 Pro, GPT-4o, Claude 3.5 Sonnet) - Given the three judges, the individual factuality score for each judge is the percentage of accurate
responses, and the unadjusted factuality score is the average of all judge models’ scores.",2024-05-13,https://platform.openai.com/docs/changelog/released-gpt-4o
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,
